,film,IMDB_Rating,Genre1,Genre2,Genre3
149,Gone Girl,8.1,Drama,Mystery,Thriller
267,Platoon,8.1,Drama,War,
1,12 Years a Slave,8.1,Biography,Drama,History
186,Into the Wild,8.1,Adventure,Biography,Drama
271,Prisoners,8.1,Crime,Drama,Mystery
44,Barry Lyndon,8.1,Adventure,Drama,History
88,Catch Me If You Can,8.1,Biography,Crime,Drama
311,Song of the Sea,8.1,Animation,Adventure,Drama
361,The Grand Budapest Hotel,8.1,Adventure,Comedy,Crime
350,The Elephant Man,8.1,Biography,Drama,
347,The Deer Hunter,8.1,Drama,War,
288,Room,8.1,Drama,Thriller,
339,The Bridge on the River Kwai,8.1,Adventure,Drama,War
92,Chinatown,8.1,Drama,Mystery,Thriller
97,Cool Hand Luke,8.1,Crime,Drama,
459,What Ever Happened to Baby Jane?,8.1,Drama,Horror,Thriller
320,Stand by Me,8.1,Adventure,Drama,
317,Spotlight,8.1,Biography,Crime,Drama
312,Soul,8.1,Animation,Adventure,Comedy
107,Dead Poets Society,8.1,Comedy,Drama,
452,Trainspotting,8.1,Drama,,
399,The Man Who Shot Liberty Valance,8.1,Drama,Western,
49,Before Sunset,8.1,Drama,Romance,
463,White Heat,8.1,Action,Crime,Drama
414,The Red Shoes,8.1,Drama,Music,Romance
422,The Sixth Sense,8.1,Drama,Mystery,Thriller
59,Blade Runner,8.1,Action,Sci-Fi,Thriller
52,Ben-Hur,8.1,Adventure,Drama,History
398,The Maltese Falcon,8.0,Film-Noir,Mystery,
374,The Incredibles,8.0,Animation,Action,Adventure
416,The Revenant,8.0,Action,Adventure,Drama
213,Lion,8.0,Biography,Drama,
371,The Hustler,8.0,Drama,Sport,
412,The Pursuit of Happyness,8.0,Biography,Drama,
373,The Imitation Game,8.0,Biography,Drama,Thriller
207,Laura,8.0,Drama,Film-Noir,Mystery
410,The Princess Bride,8.0,Adventure,Family,Fantasy
206,La Strada,8.0,Drama,,
402,The Martian,8.0,Adventure,Drama,Sci-Fi
205,La La Land,8.0,Comedy,Drama,Music
379,The King's Speech,8.0,Biography,Drama,History
383,The Last Picture Show,8.0,Drama,Romance,
424,The Sound of Music,8.0,Biography,Drama,Family
470,Young Frankenstein,8.0,Comedy,,
367,The Help,8.0,Drama,,
287,Roman Holiday,8.0,Comedy,Romance,
220,Magnolia,8.0,Drama,,
440,The Wizard of Oz,8.0,Adventure,Family,Fantasy
289,Rosemary's Baby,8.0,Drama,Horror,
465,Who's Afraid of Virginia Woolf?,8.0,Drama,,
292,Scent of a Woman,8.0,Drama,,
429,The Thin Man,8.0,Comedy,Crime,Mystery
426,The Straight Story,8.0,Biography,Drama,
278,Ratatouille,8.0,Animation,Adventure,Comedy
307,Sleuth,8.0,Mystery,Thriller,
276,Rain Man,8.0,Drama,,
308,Sling Blade,8.0,Drama,,
309,Slumdog Millionaire,8.0,Drama,Romance,
467,Wonder,8.0,Drama,Family,
362,The Grapes of Wrath,8.0,Drama,History,
266,Planet of the Apes,8.0,Adventure,Sci-Fi,
265,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,Action,Adventure,Fantasy
262,Persepolis,8.0,Animation,Biography,Drama
319,Stalag 17,8.0,Comedy,Drama,War
260,Papillon,8.0,Biography,Crime,Drama
192,Jaws,8.0,Adventure,Thriller,
334,The Best Years of Our Lives,8.0,Drama,Romance,War
338,The Bourne Ultimatum,8.0,Action,Mystery,Thriller
351,The Exorcist,8.0,Horror,,
360,The Graduate,8.0,Comedy,Drama,Romance
294,Secrets & Lies,8.0,Comedy,Drama,
472,Zootopia,8.0,Animation,Adventure,Comedy
47,Beauty and the Beast,8.0,Animation,Family,Fantasy
103,Dancer in the Dark,8.0,Crime,Drama,Musical
76,Butch Cassidy and the Sundance Kid,8.0,Biography,Crime,Drama
74,Brief Encounter,8.0,Drama,Romance,
191,JFK,8.0,Drama,History,Thriller
93,Cinderella Man,8.0,Biography,Drama,History
154,Guardians of the Galaxy,8.0,Action,Adventure,Comedy
64,Bohemian Rhapsody,8.0,Biography,Drama,Music
62,Blood Diamond,8.0,Adventure,Drama,Thriller
166,Her,8.0,Drama,Romance,Sci-Fi
60,Blade Runner 2049,8.0,Action,Drama,Mystery
58,Black Swan,8.0,Drama,Thriller,
53,Big Fish,8.0,Adventure,Drama,Fantasy
51,Being There,8.0,Comedy,Drama,
85,Casino Royale,8.0,Action,Adventure,Thriller
102,Dallas Buyers Club,8.0,Biography,Drama,
87,Cat on a Hot Tin Roof,8.0,Drama,,
129,Fiddler on the Roof,8.0,Drama,Family,Musical
29,Annie Hall,8.0,Comedy,Romance,
139,Gandhi,8.0,Biography,Drama,History
112,Do the Right Thing,8.0,Comedy,Drama,
28,Anatomy of a Murder,8.0,Crime,Drama,Mystery
13,A Streetcar Named Desire,8.0,Drama,,
113,Doctor Zhivago,8.0,Drama,Romance,War
114,Dog Day Afternoon,8.0,Biography,Crime,Drama
14,Aladdin,8.0,Animation,Adventure,Comedy
17,All Quiet on the Western Front,8.0,Drama,War,
315,Spartacus,7.9,Adventure,Biography,Drama
90,Charade,7.9,Comedy,Mystery,Romance
91,Children of Men,7.9,Adventure,Drama,Sci-Fi
330,The Adventures of Robin Hood,7.9,Action,Adventure,Romance
127,Fantastic Mr. Fox,7.9,Animation,Adventure,Comedy
123,Edward Scissorhands,7.9,Drama,Fantasy,Romance
110,District 9,7.9,Action,Sci-Fi,Thriller
120,East of Eden,7.9,Drama,,
325,Strangers on a Train,7.9,Crime,Film-Noir,Thriller
321,Star Trek,7.9,Action,Adventure,Sci-Fi
101,Crimes and Misdemeanors,7.9,Comedy,Drama,
193,Jojo Rabbit,7.9,Comedy,Drama,War
388,The Lion in Winter,7.9,Biography,Drama,History
81,Captain Fantastic,7.9,Comedy,Drama,
435,The Untouchables,7.9,Crime,Drama,Thriller
469,X-Men: Days of Future Past,7.9,Action,Adventure,Sci-Fi
18,All That Jazz,7.9,Drama,Music,Musical
19,All the President's Men,7.9,Biography,Drama,History
20,Almost Famous,7.9,Adventure,Comedy,Drama
448,Toy Story 2,7.9,Animation,Adventure,Comedy
22,Amarcord,7.9,Comedy,Drama,Family
26,Amour,7.9,Drama,Romance,
442,The Wrestler,7.9,Drama,Sport,
439,The Wild Bunch,7.9,Action,Adventure,Western
34,Arrival,7.9,Drama,Sci-Fi,
78,Call Me by Your Name,7.9,Drama,Romance,
427,The Ten Commandments,7.9,Adventure,Drama,
48,Before Midnight,7.9,Drama,Romance,
407,The Philadelphia Story,7.9,Comedy,Romance,
401,The Manchurian Candidate,7.9,Drama,Thriller,
396,The Lost Weekend,7.9,Drama,Film-Noir,
66,Boogie Nights,7.9,Drama,,
67,Boyhood,7.9,Drama,,
376,The Irishman,7.9,Biography,Crime,Drama
69,Brazil,7.9,Drama,Sci-Fi,
261,Patton,7.9,Biography,Drama,War
333,The Artist,7.9,Comedy,Drama,Romance
176,In the Heat of the Night,7.9,Crime,Drama,Mystery
223,Manhattan,7.9,Comedy,Drama,Romance
199,King Kong,7.9,Adventure,Horror,Sci-Fi
188,Isle of Dogs,7.9,Animation,Adventure,Comedy
162,Harry Potter and the Prisoner of Azkaban,7.9,Adventure,Family,Fantasy
245,Mystic River,7.9,Crime,Drama,Mystery
248,Nightcrawler,7.9,Crime,Drama,Thriller
159,Hannah and Her Sisters,7.9,Comedy,Drama,
233,Miracle on 34th Street,7.9,Comedy,Drama,Family
201,Knives Out,7.9,Comedy,Crime,Drama
164,Harvey,7.9,Comedy,Drama,Fantasy
250,No Man's Land,7.9,Comedy,Drama,War
175,In Bruges,7.9,Comedy,Crime,Drama
252,Notorious,7.9,Drama,Film-Noir,Romance
224,Marriage Story,7.9,Comedy,Drama,Romance
187,Iron Man,7.9,Action,Adventure,Sci-Fi
211,Life of Pi,7.9,Adventure,Drama,Fantasy
210,Letters from Iwo Jima,7.9,Action,Adventure,Drama
168,High Noon,7.9,Drama,Thriller,Western
218,Loving Vincent,7.8,Animation,Biography,Crime
346,The Day of the Jackal,7.8,Crime,Drama,Thriller
356,The Fugitive,7.8,Action,Crime,Drama
202,Kramer vs. Kramer,7.8,Drama,,
353,The Fighter,7.8,Biography,Drama,Sport
415,The Remains of the Day,7.8,Drama,Romance,
82,Captain Phillips,7.8,Adventure,Biography,Crime
417,The Right Stuff,7.8,Adventure,Biography,Drama
433,The Trial of the Chicago 7,7.8,Drama,History,Thriller
43,Back to the Future Part II,7.8,Adventure,Comedy,Sci-Fi
86,Cast Away,7.8,Adventure,Drama,Romance
344,The Curious Case of Benjamin Button,7.8,Drama,Fantasy,Romance
234,Misery,7.8,Drama,Thriller,
214,Little Miss Sunshine,7.8,Comedy,Drama,
342,The Color Purple,7.8,Drama,,
450,Toy Story 4,7.8,Animation,Adventure,Comedy
235,Mississippi Burning,7.8,Crime,Drama,History
335,The Big Short,7.8,Biography,Comedy,Drama
40,Awakenings,7.8,Biography,Drama,
239,Moonrise Kingdom,7.8,Comedy,Drama,Romance
37,Avatar,7.8,Action,Adventure,Fantasy
198,Key Largo,7.8,Action,Crime,Drama
357,The Girl with the Dragon Tattoo,7.8,Crime,Drama,Mystery
77,Cabaret,7.8,Drama,Music,Musical
167,Hidden Figures,7.8,Biography,Drama,History
203,Kubo and the Two Strings,7.8,Animation,Action,Adventure
222,Manchester by the Sea,7.8,Drama,,
392,The Longest Day,7.8,Action,Drama,History
400,The Man Who Would Be King,7.8,Adventure,History,War
172,How to Train Your Dragon 2,7.8,Animation,Action,Adventure
406,The Outlaw Josey Wales,7.8,Western,,
65,Bonnie and Clyde,7.8,Action,Biography,Crime
225,Mary Poppins,7.8,Comedy,Family,Fantasy
31,Apocalypto,7.8,Action,Adventure,Drama
378,The Killing Fields,7.8,Biography,Drama,History
375,The Insider,7.8,Biography,Drama,Thriller
228,Midnight Cowboy,7.8,Drama,,
54,Big Hero 6,7.8,Animation,Action,Adventure
444,Titanic,7.8,Drama,Romance,
71,Breaking the Waves,7.8,Drama,,
324,Straight Outta Compton,7.8,Biography,Drama,History
369,The Hobbit: The Desolation of Smaug,7.8,Adventure,Fantasy,
215,Little Women,7.8,Drama,Romance,
368,The Hobbit: An Unexpected Journey,7.8,Adventure,Fantasy,
72,Bride of Frankenstein,7.8,Drama,Horror,Sci-Fi
366,The Hateful Eight,7.8,Crime,Drama,Mystery
24,American Gangster,7.8,Biography,Crime,Drama
343,The Conversation,7.8,Drama,Mystery,Thriller
36,Atonement,7.8,Drama,Mystery,Romance
313,Sound of Metal,7.8,Drama,Music,
268,Predator,7.8,Action,Adventure,Sci-Fi
269,Pride & Prejudice,7.8,Drama,Romance,
118,Drive,7.8,Crime,Drama,
106,Days of Heaven,7.8,Drama,Romance,
122,Ed Wood,7.8,Biography,Comedy,Drama
142,Ghostbusters,7.8,Action,Comedy,Fantasy
146,Glory,7.8,Biography,Drama,History
460,What's Eating Gilbert Grape,7.8,Drama,,
297,Shadow of a Doubt,7.8,Film-Noir,Thriller,
119,Dunkirk,7.8,Action,Drama,History
244,My Fair Lady,7.8,Drama,Family,Musical
301,Shrek,7.8,Animation,Adventure,Comedy
318,Stagecoach,7.8,Adventure,Drama,Western
156,Guess Who's Coming to Dinner,7.8,Comedy,Drama,
140,Gattaca,7.8,Drama,Sci-Fi,Thriller
457,Walk the Line,7.8,Biography,Drama,Music
256,Once,7.8,Drama,Music,Romance
282,Red River,7.8,Action,Adventure,Drama
397,The Magnificent Seven,7.7,Action,Adventure,Western
61,Blazing Saddles,7.7,Comedy,Western,
468,Wreck-It Ralph,7.7,Animation,Adventure,Comedy
221,Malcolm X,7.7,Biography,Drama,History
322,Star Trek Into Darkness,7.7,Action,Adventure,Sci-Fi
63,Blue Velvet,7.7,Drama,Mystery,Thriller
137,Frost/Nixon,7.7,Biography,Drama,History
5,3:10 to Yuma,7.7,Action,Crime,Drama
135,Fried Green Tomatoes,7.7,Drama,,
279,Ray,7.7,Biography,Drama,Music
8,A Few Good Men,7.7,Drama,Thriller,
386,The Lego Movie,7.7,Animation,Action,Adventure
385,The Last of the Mohicans,7.7,Action,Adventure,Drama
384,The Last Samurai,7.7,Action,Drama,
141,Get Out,7.7,Horror,Mystery,Thriller
405,The Odd Couple,7.7,Comedy,,
217,Lost in Translation,7.7,Comedy,Drama,
50,Being John Malkovich,7.7,Comedy,Drama,Fantasy
428,The Theory of Everything,7.7,Biography,Drama,Romance
152,Gravity,7.7,Drama,Sci-Fi,Thriller
