,winner,Genre
405,False,Mystery
406,True,History
407,True,History
408,True,History
409,True,History
410,True,History
411,True,History
412,True,History
413,True,History
414,True,History
415,True,History
416,True,History
417,False,History
418,False,Music
419,False,Music
420,False,Music
421,True,Music
422,False,Music
423,False,Music
424,False,Mystery
425,False,Mystery
426,False,Mystery
427,False,Mystery
428,False,Mystery
429,False,Mystery
430,False,Mystery
431,False,Mystery
432,False,Mystery
433,False,Mystery
434,False,Romance
435,False,Romance
436,False,Romance
437,True,Romance
438,False,Romance
439,True,Romance
440,True,Romance
441,True,Romance
442,False,Romance
443,True,Romance
444,False,History
445,False,History
446,False,History
447,False,History
448,True,Biography
449,True,Biography
450,True,Biography
451,True,Biography
452,False,Biography
453,False,Biography
454,False,Horror
455,False,Horror
456,False,Horror
457,False,Horror
458,False,Sport
459,False,Sport
460,False,Sport
461,False,Sport
462,True,Sport
463,True,Sport
464,False,Sport
465,False,Sport
466,False,Sport
467,True,War
468,False,War
469,False,War
470,False,War
471,False,War
472,False,War
473,False,War
474,False,War
475,False,War
476,False,War
477,True,War
478,False,Romance
479,False,Romance
480,True,Romance
481,True,Romance
482,False,Romance
483,False,Biography
484,False,Biography
485,True,Biography
486,True,Biography
487,True,Biography
488,True,Biography
489,True,Biography
490,True,Biography
491,True,Biography
492,False,Biography
493,True,Crime
494,False,Crime
495,True,Crime
496,False,Crime
497,False,Crime
498,False,Crime
499,False,Crime
500,True,Crime
501,False,Horror
502,False,Horror
503,False,Horror
504,True,Horror
505,False,Horror
506,False,Thriller
507,False,Thriller
508,False,History
509,True,History
510,False,History
511,False,History
512,True,History
513,False,Western
514,False,History
515,False,Mystery
516,True,Mystery
517,False,Horror
518,True,Music
519,False,Music
520,False,Music
521,True,Music
522,True,Music
523,True,Music
524,True,Music
525,False,Music
526,True,Music
527,True,Music
528,True,Music
529,False,Music
530,False,Comedy
531,False,Comedy
532,False,Comedy
533,False,Comedy
534,True,Family
535,False,Family
536,False,Family
537,False,Family
538,False,Family
539,True,Family
540,True,Family
541,False,Family
542,True,Family
543,False,Family
544,False,Family
545,True,Family
546,False,Family
547,False,Music
548,False,Music
549,True,Thriller
550,False,War
551,True,War
552,True,War
553,True,War
554,False,War
555,False,War
556,True,War
557,False,War
558,False,War
559,True,War
560,False,Family
561,False,Family
562,False,Family
563,False,Family
564,False,Family
565,True,Family
566,True,Family
567,True,Family
568,True,Family
569,True,Family
570,False,Drama
571,False,Drama
572,True,Drama
573,True,Drama
574,True,Drama
575,True,Drama
576,True,Drama
577,False,Drama
578,False,Drama
579,False,Drama
580,False,Drama
581,False,Drama
582,False,Drama
583,True,History
584,False,History
585,False,History
586,True,History
587,True,History
588,True,History
589,True,History
590,True,History
591,False,Action
592,False,Action
593,False,Action
594,False,Action
595,True,Action
596,True,Action
597,False,Action
598,False,Action
599,False,Action
600,False,Action
601,False,Romance
602,False,Romance
603,False,Romance
604,False,Romance
605,True,Romance
606,False,Romance
607,False,Romance
608,False,Crime
609,True,Crime
610,False,Crime
611,False,Crime
612,True,Mystery
613,False,Mystery
614,True,Mystery
615,True,Mystery
616,True,Mystery
617,False,Mystery
618,True,Mystery
619,False,Comedy
620,False,Comedy
621,True,Comedy
622,False,Comedy
623,False,Comedy
624,False,Comedy
625,False,Comedy
626,False,Comedy
627,False,Comedy
628,True,Comedy
629,False,War
630,False,War
631,False,War
632,True,War
633,False,Animation
634,True,Animation
635,False,Thriller
636,False,History
637,True,History
638,False,History
639,False,History
640,True,History
641,False,History
642,True,History
643,True,Horror
644,False,Horror
645,False,Sci-Fi
646,False,Sci-Fi
647,True,Sci-Fi
648,False,Sci-Fi
649,False,Sci-Fi
650,False,Sci-Fi
651,False,Comedy
652,False,Comedy
653,False,Drama
654,False,Drama
655,False,Drama
656,True,Drama
657,False,Drama
658,True,Drama
659,True,Drama
660,True,Western
661,False,Western
662,False,Western
663,False,Western
664,False,Western
665,False,Western
666,False,Western
667,False,Western
668,False,Western
669,False,Western
670,False,Western
671,False,Western
672,True,Crime
673,False,Crime
674,True,Crime
675,True,Crime
676,False,Crime
677,False,Crime
678,True,Crime
679,False,Western
680,False,Western
681,True,War
682,True,War
683,False,War
684,True,War
685,True,War
686,False,War
687,True,War
688,True,War
689,False,War
690,True,War
691,True,Action
692,False,Action
693,False,Action
694,True,Action
695,True,Action
696,True,Action
697,False,Action
698,True,Action
699,False,Music
700,False,Music
701,False,Music
702,True,Music
703,False,Music
704,True,Music
705,False,Music
706,True,Music
707,False,Romance
708,True,Romance
709,False,Romance
710,True,Romance
711,False,Romance
712,False,Romance
713,False,Romance
714,False,Romance
715,False,Sci-Fi
716,False,Sci-Fi
717,False,Sci-Fi
718,False,Sci-Fi
719,True,Crime
720,False,Crime
721,False,Crime
722,False,Crime
723,False,Crime
724,False,Crime
725,False,Crime
726,False,Crime
727,True,Crime
728,False,Crime
729,True,Crime
730,False,Mystery
731,False,Mystery
732,False,Mystery
733,False,Mystery
734,True,Music
735,True,Music
736,True,Music
737,True,Music
738,True,Music
739,True,Music
740,True,Music
741,False,Music
742,True,Music
743,False,Music
744,False,Thriller
745,False,Thriller
746,False,Thriller
747,False,History
748,False,History
749,False,History
750,False,Crime
751,False,Crime
752,False,Crime
753,True,Crime
754,False,Crime
755,True,Crime
756,True,Crime
757,True,Crime
758,True,Crime
759,True,Crime
760,False,Crime
761,True,Crime
762,False,Horror
763,False,Horror
764,False,Horror
765,False,Horror
766,False,Horror
767,False,Horror
768,False,Horror
769,False,Horror
770,True,Horror
771,True,Horror
772,False,Crime
773,True,Crime
774,False,Crime
775,False,Crime
776,False,Thriller
777,False,Crime
778,False,Mystery
779,False,Mystery
780,False,Mystery
781,False,Mystery
782,False,Mystery
783,False,Mystery
784,False,Mystery
785,False,Mystery
786,False,Mystery
787,False,Mystery
788,True,Mystery
789,False,Western
790,False,Western
791,False,Western
792,True,Family
793,False,Family
794,False,Family
795,False,Mystery
796,False,Mystery
797,False,Mystery
798,False,Comedy
799,False,Comedy
800,False,Crime
801,False,Crime
802,False,Crime
803,False,Crime
804,False,Crime
805,True,Crime
806,True,History
807,True,History
808,True,History
809,False,History
810,True,History
811,False,History
812,False,History
813,False,War
814,False,War
815,False,War
816,False,War
817,True,Thriller
818,True,Thriller
819,False,Thriller
820,True,Thriller
821,False,Drama
822,False,Drama
823,True,Drama
824,False,Drama
825,False,Drama
826,False,Drama
827,False,Crime
828,False,Crime
829,False,Crime
830,False,Crime
831,True,Drama
832,False,Drama
833,False,Drama
834,True,Drama
835,True,Drama
836,False,Drama
837,False,Drama
838,False,Drama
839,False,Drama
840,True,Drama
841,False,Sport
842,False,Sport
843,False,Sport
844,False,Sport
845,True,Sport
846,True,Sport
847,False,Sport
848,True,Sport
849,False,Sport
850,False,Sport
851,True,History
852,False,History
853,True,History
854,False,History
855,False,History
856,False,History
857,True,History
858,True,History
859,False,Horror
860,False,Horror
861,True,Horror
862,False,Horror
863,True,Horror
864,True,Horror
865,True,Horror
866,False,Western
867,False,Romance
868,True,Romance
869,True,Romance
870,True,Romance
871,True,Romance
872,False,Fantasy
873,True,Fantasy
874,True,Fantasy
875,False,Fantasy
876,True,Fantasy
877,True,Fantasy
878,False,Fantasy
879,True,Fantasy
880,True,Fantasy
881,False,Fantasy
882,False,Sci-Fi
883,False,Sci-Fi
884,True,Sci-Fi
885,False,Sci-Fi
886,False,Sci-Fi
887,False,Sci-Fi
888,False,Sci-Fi
889,False,Sci-Fi
890,True,Sci-Fi
891,False,War
892,True,War
893,False,War
894,False,War
895,True,War
896,True,War
897,True,War
898,True,War
899,False,War
900,False,Crime
901,False,Crime
902,False,Crime
903,True,Crime
904,False,Crime
905,True,Crime
906,True,Romance
907,False,Romance
908,False,Romance
909,False,Romance
910,True,Drama
911,False,Drama
912,False,Drama
913,True,Drama
914,False,Drama
915,True,Drama
916,False,Drama
917,True,Drama
918,True,Drama
919,False,Music
920,True,Music
921,False,Music
922,True,Music
923,False,Music
924,True,Music
925,True,Music
926,False,Music
927,False,Music
928,False,Comedy
929,True,Comedy
930,False,Mystery
931,False,Mystery
932,True,Mystery
933,False,Mystery
934,False,Mystery
935,False,Mystery
936,True,Mystery
937,False,Mystery
938,False,Romance
939,False,Romance
940,False,Horror
941,True,Horror
942,False,Family
943,False,Family
944,True,Sport
945,False,Sport
946,False,Sport
947,False,Sport
948,False,Sport
949,True,Sport
950,False,Sport
951,False,Sport
952,False,Biography
953,False,Biography
954,False,Biography
955,False,Biography
956,False,Biography
957,False,Biography
958,False,Biography
959,False,Biography
960,False,Drama
961,True,Drama
962,False,Drama
963,True,Drama
964,True,Drama
965,True,Drama
966,True,Drama
967,True,Drama
968,False,Drama
969,False,Drama
970,False,Drama
971,False,Drama
972,False,Drama
973,False,Drama
974,False,Drama
975,True,Drama
976,True,Action
977,False,Action
978,False,Action
979,True,Action
980,False,Action
981,False,Action
982,True,Action
983,True,Action
984,True,Action
985,True,History
986,True,History
987,True,History
988,True,History
989,True,History
990,True,History
991,False,History
992,False,History
993,True,History
994,False,History
995,True,History
996,False,Drama
997,False,Drama
998,False,Drama
999,False,Drama
1000,False,Drama
1001,False,Sci-Fi
1002,False,Sci-Fi
1003,False,Thriller
1004,False,Thriller
1005,False,Thriller
1006,False,Thriller
1007,False,Thriller
1008,False,Thriller
1009,False,Biography
1010,False,Biography
1011,False,Biography
1012,True,Biography
1013,True,Biography
1014,False,Biography
1015,True,Biography
1016,True,Biography
1017,False,Comedy
1018,False,Comedy
1019,True,History
1020,False,History
1021,True,History
1022,False,History
1023,True,History
1024,True,History
1025,False,History
1026,True,History
1027,True,History
1028,True,History
1029,True,History
1030,False,History
1031,True,History
1032,True,History
1033,False,History
1034,True,History
1035,False,History
1036,False,History
1037,False,Fantasy
1038,False,Fantasy
1039,True,Animation
1040,True,Animation
1041,True,Animation
1042,False,Animation
1043,False,Animation
1044,False,Animation
1045,False,Drama
1046,False,Drama
1047,False,Drama
1048,False,Drama
1049,False,Drama
1050,False,Drama
1051,False,Drama
1052,False,Drama
1053,False,Drama
1054,False,Drama
1055,False,Drama
1056,False,War
1057,False,War
1058,True,War
1059,False,War
1060,False,Sci-Fi
1061,False,Sci-Fi
1062,True,Sci-Fi
1063,False,Sci-Fi
1064,False,Fantasy
1065,False,War
1066,False,War
1067,False,War
1068,True,War
1069,True,War
1070,True,War
1071,True,War
1072,False,War
1073,True,Comedy
1074,True,Comedy
1075,False,Comedy
1076,False,Comedy
1077,False,Comedy
1078,False,Comedy
1079,True,Comedy
1080,False,Sci-Fi
1081,False,Sci-Fi
1082,False,Sci-Fi
1083,False,Sci-Fi
1084,False,Sci-Fi
1085,True,Sci-Fi
1086,True,Sci-Fi
1087,False,Mystery
1088,False,Adventure
1089,True,Thriller
1090,False,Thriller
1091,False,Thriller
1092,False,Thriller
1093,False,History
1094,False,History
1095,False,History
1096,False,History
1097,False,History
1098,False,History
1099,True,History
1100,True,History
1101,True,History
1102,True,History
1103,True,History
1104,True,History
1105,True,History
1106,True,History
1107,True,History
1108,False,Family
1109,False,Thriller
1110,False,Sci-Fi
1111,False,War
1112,False,History
1113,False,History
1114,True,History
1115,False,History
1116,False,History
1117,False,History
1118,False,History
1119,True,Drama
1120,False,Drama
1121,False,Drama
1122,True,Drama
1123,False,Drama
1124,False,Drama
1125,True,Drama
1126,True,Drama
1127,False,Animation
1128,False,Animation
1129,True,Animation
1130,False,Animation
1131,True,Animation
1132,True,Animation
1133,False,Thriller
1134,False,Thriller
1135,False,Thriller
1136,False,Thriller
1137,False,Comedy
1138,False,Comedy
1139,False,Comedy
1140,True,Comedy
1141,False,Comedy
1142,False,Comedy
1143,False,Comedy
1144,False,Comedy
1145,False,Comedy
1146,True,History
1147,False,History
1148,True,History
1149,False,History
1150,True,History
1151,False,Action
1152,False,Action
1153,True,Action
1154,True,Animation
1155,False,Animation
1156,True,Animation
1157,False,Sci-Fi
1158,False,Romance
1159,False,Biography
1160,False,Biography
1161,False,Biography
1162,True,Thriller
1163,False,Fantasy
1164,False,Family
1165,False,Family
1166,False,Thriller
1167,False,Thriller
1168,True,Thriller
1169,True,Thriller
1170,True,Thriller
1171,False,Thriller
1172,True,Thriller
1173,False,Thriller
1174,True,Thriller
1175,False,History
1176,True,History
1177,False,History
1178,True,History
1179,False,History
1180,False,History
1181,False,History
1182,False,History
1183,False,Thriller
1184,False,Thriller
1185,False,Thriller
1186,False,Drama
1187,False,Drama
1188,False,Sci-Fi
1189,False,Sci-Fi
1190,True,Sci-Fi
1191,True,Sci-Fi
1192,True,Sci-Fi
1193,True,Sci-Fi
1194,True,Animation
1195,False,Animation
1196,True,Animation
1197,False,Animation
1198,False,Animation
1199,False,Animation
1200,False,Animation
1201,False,Animation
1202,False,Western
1203,True,Western
1204,False,Western
1205,False,Western
1206,True,Western
1207,True,Western
1208,True,Western
1209,False,Western
1210,False,Western
1211,False,Thriller
1212,False,Thriller
1213,False,Thriller
1214,False,Thriller
1215,False,Mystery
1216,True,Crime
1217,True,Animation
1218,False,Animation
1219,True,Animation
1220,False,Animation
